id01,cafe đen,100,2000000,5/17/2023 10:16:15 PM
id02,cafe sữa,10,200000,5/17/2023 10:17:07 PM
id02,cafe sữa,20000,400000000,5/17/2023 10:18:18 PM
id01,cafe đen,100,2000000,5/17/2022 10:16:15 PM
id02,cafe sữa,10,200000,5/17/2022 10:17:07 PM
id02,cafe sữa,20000,400000000,5/17/2022 10:18:18 PM

id01,cafe đen,20,400000,5/18/2023 5:22:00 PM
id01,cafe đen,10,200000,5/18/2023 5:24:38 PM
id01,cafe đen,10,200000,5/18/2023 8:07:02 PM
id01,cafe đen,1,20000,5/18/2023 8:22:13 PM
id03,bạc sửu,2,40000,5/18/2023 8:28:48 PM
id01,cafe đá,20,400000,5/19/2023 9:29:43 PM
